numero_uf_ibge,nome_uf,sigla_uf,numero_regiao_geografica_intermediaria,nome_regiao_geografica_intermediaria,numero_regiao_geografica_imediata,nome_regiao_geografica_imediata,numero_mesorregiao_geografica,nome_mesorregiao_geografica,numero_microrregiao_geografica,nome_microrregiao_geografica,codigo_municipio,nome_municipio,nome_regiao_nacional
11,Rondônia,RO,1102,Ji-Paraná,110005,Cacoal,2,Leste Rondoniense,6,Cacoal,1100015,Alta Floresta D'Oeste,Norte
11,Rondônia,RO,1102,Ji-Paraná,110005,Cacoal,2,Leste Rondoniense,6,Cacoal,1100379,Alto Alegre dos Parecis,Norte
11,Rondônia,RO,1101,Porto Velho,110002,Ariquemes,2,Leste Rondoniense,3,Ariquemes,1100403,Alto Paraíso,Norte
11,Rondônia,RO,1102,Ji-Paraná,110004,Ji-Paraná,2,Leste Rondoniense,5,Alvorada D'Oeste,1100346,Alvorada D'Oeste,Norte
11,Rondônia,RO,1101,Porto Velho,110002,Ariquemes,2,Leste Rondoniense,3,Ariquemes,1100023,Ariquemes,Norte
11,Rondônia,RO,1101,Porto Velho,110002,Ariquemes,1,Madeira-Guaporé,1,Porto Velho,1100452,Buritis,Norte
11,Rondônia,RO,1102,Ji-Paraná,110006,Vilhena,2,Leste Rondoniense,8,Colorado do Oeste,1100031,Cabixi,Norte
11,Rondônia,RO,1101,Porto Velho,110002,Ariquemes,2,Leste Rondoniense,3,Ariquemes,1100601,Cacaulândia,Norte
11,Rondônia,RO,1102,Ji-Paraná,110005,Cacoal,2,Leste Rondoniense,6,Cacoal,1100049,Cacoal,Norte
11,Rondônia,RO,1101,Porto Velho,110002,Ariquemes,1,Madeira-Guaporé,1,Porto Velho,1100700,Campo Novo de Rondônia,Norte
11,Rondônia,RO,1101,Porto Velho,110001,Porto Velho,1,Madeira-Guaporé,1,Porto Velho,1100809,Candeias do Jamari,Norte
11,Rondônia,RO,1102,Ji-Paraná,110005,Cacoal,2,Leste Rondoniense,6,Cacoal,1100908,Castanheiras,Norte
11,Rondônia,RO,1102,Ji-Paraná,110006,Vilhena,2,Leste Rondoniense,8,Colorado do Oeste,1100056,Cerejeiras,Norte
11,Rondônia,RO,1102,Ji-Paraná,110006,Vilhena,2,Leste Rondoniense,7,Vilhena,1100924,Chupinguaia,Norte
11,Rondônia,RO,1102,Ji-Paraná,110006,Vilhena,2,Leste Rondoniense,8,Colorado do Oeste,1100064,Colorado do Oeste,Norte
11,Rondônia,RO,1102,Ji-Paraná,110006,Vilhena,2,Leste Rondoniense,8,Colorado do Oeste,1100072,Corumbiara,Norte
11,Rondônia,RO,1102,Ji-Paraná,110004,Ji-Paraná,1,Madeira-Guaporé,2,Guajará-Mirim,1100080,Costa Marques,Norte
11,Rondônia,RO,1101,Porto Velho,110002,Ariquemes,1,Madeira-Guaporé,1,Porto Velho,1100940,Cujubim,Norte
11,Rondônia,RO,1102,Ji-Paraná,110005,Cacoal,2,Leste Rondoniense,6,Cacoal,1100098,Espigão D'Oeste,Norte
11,Rondônia,RO,1101,Porto Velho,110003,Jaru,2,Leste Rondoniense,4,Ji-Paraná,1101005,Governador Jorge Teixeira,Norte
11,Rondônia,RO,1101,Porto Velho,110001,Porto Velho,1,Madeira-Guaporé,2,Guajará-Mirim,1100106,Guajará-Mirim,Norte
